"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15"
10108020023,"01",1,3334,"68200",5,2,10,6,NA,"00000010000000",NA,"00000037000000","00000027000000",2.72e+08,1.98e+08
10111022417,"03",1,7421,"43210",4,2,10,5,"00000020000000","00000042000000","00000050000000","00000030000000",NA,3.12e+08,1.7e+08
10111022420,"01",1,2165,"71100",5,2,4,3,NA,"00000015000000","00000004500000",NA,NA,369500000,3.5e+08
10111022420,"01",1,2651,"90002",5,2,2,3,NA,"00000055000000","00000025000000","00000008000000",NA,6.38e+08,5.5e+08
10103012829,"03",1,5224,"47212",4,2,7,6,"00000015000000","00008500000000","00000008500000","00000135000000",NA,9623500000,9.65e+08
10105017613,"01",1,7131,"43300",4,2,9,5,"00000015000000","00000004500000","00000055000000","00000002500000",NA,4.27e+08,3.5e+08
10105017613,"03",1,7131,"43300",4,2,9,5,"00000015000000","00000004500000","00000055000000","00000002500000",NA,4.27e+08,3.5e+08
10105017626,"01",1,8322,"49220",5,2,6,6,NA,"00000075000000","00000009500000","00000011000000",NA,311500000,2.16e+08
10103012826,"01",1,3334,"68200",5,2,9,6,NA,"00000035000000","00000006000000","00000020000000",NA,1.46e+08,8.5e+07
10103012826,"01",2,3324,"45100",5,2,NA,NA,NA,NA,NA,NA,NA,5.5e+08,5.5e+08
10111023218,"01",1,8322,"49220",5,2,7,6,NA,"00000067000000","00000034000000","00000015000000",NA,2.13e+08,9.7e+07
10111023223,"01",1,3334,"68200",5,2,5,3,NA,NA,NA,"00000006000000",NA,4.56e+08,4.5e+08
10104014822,"01",1,7231,"45200",4,2,8,7,"00000048000000","00000007500000","00000009600000","00000068500000",NA,488600000,3.55e+08
10116026029,"01",1,8322,"49220",5,2,10,6,NA,"00000059000000","00000042000000","00000012000000",NA,2.27e+08,1.14e+08
10116026029,"03",1,7411,"43210",5,2,10,4,NA,"00000012000000","00000008000000","00000004000000",NA,1.19e+08,9.5e+07
10107018823,"01",1,8322,"49230",5,2,10,6,NA,"00000103000000","00000056000000","00000019000000",NA,3.37e+08,1.59e+08
10107018826,"01",1,8322,"49220",5,2,8,6,NA,"00000060000000","00000003500000","00000002870000",NA,282370000,2.16e+08
10107018826,"01",1,6111,"01120",4,1,5,3,"00000014000000","00000003000000","00000001200000","00000013200000",NA,1.08e+08,76600000
10107019626,"03",1,7231,"45200",5,2,10,6,NA,"00000003700000","00000001000000","00000075000000",NA,219700000,1.4e+08
10111022826,"01",1,3334,"68200",5,2,5,6,NA,"00000005000000","00000003000000","00000007500000","00000015000000",510500000,4.8e+08
10101011620,"01",1,5224,"47212",4,2,12,7,"00000145000000","00014400000000","00000120000000","00000088000000","00000008500000",1.584e+10,1078500000
10105015226,"01",1,7121,"43300",4,2,8,6,"00000060000000","00000250000000","00000004000000","00000020000000",NA,6.94e+08,3.6e+08
10105017214,"01",1,6111,"01120",4,1,5,4,"00000025000000","00000006500000","00000001000000","00000091400000",NA,2.43e+08,119100000
10105017216,"01",1,7522,"16220",4,2,10,6,"00000084000000","00000168000000","00000003500000","00000003600000",NA,535100000,2.76e+08
