"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari"
2000089059,"03","آتشكار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,130,1,"Admin",NA,"Admin",NA,NA
2000089064,"03","مسئول كنترل كيفيت",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,129,1,"Admin",NA,"Admin","Admin",NA
2000089073,"03","رئيس حسابداري شركت پخش نفت",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,124,1,"Admin",NA,"Admin","Admin",NA
2000089069,"03","بازرس سرويس صنعتي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,54,0,"Admin",NA,"Admin",NA,NA
2000089065,"03","مسئول پيگيري حواله انبار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,124,1,"Admin",NA,"Admin",NA,NA
2000077201,"03","باغدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,133,1,"Admin",NA,"Admin","Admin",NA
2000077198,"03","كارگر كشاورزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,172,1,"Admin",NA,"Admin","Admin",NA
2000077206,"03","جوشكار فلز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,74,0,"Admin",NA,"Admin","Admin",NA
2000077196,"03","باغدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,133,1,"Admin",NA,"Admin","Admin",NA
2000077207,"03","باغدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,128,1,"Admin",NA,"Admin","Admin",NA
2000053011,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,194,1,"Admin",NA,"Admin","Admin",NA
