"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36","DYCOL37","DYCOL38","DYCOL39","DYCOL40","DYCOL41","DYCOL42","DYCOL43","DYCOL44","DYCOL45","DYCOL46","DYCOL47","DYCOL48","DYCOL49","DYCOL50","DYCOL51","DYCOL52","DYCOL53","DYCOL54","DYCOL55","DYCOL56","DYCOL57"
"000011020",1,"04","120",3,"02",1,1,1,NA,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,"01","02",NA,"04",NA,"06","07",NA,NA,NA,NA,NA,NA,"03",11,23,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"000061129",1,"02","050",3,"02",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03",15,30,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000071156",1,"02","035",3,"06",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03",16,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"000071159",1,"04","100",3,"06",NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,"01","02",NA,"04",NA,NA,"07",NA,NA,NA,NA,NA,NA,"03",11,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"000071160",1,"03","055",3,"06",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,"04",NA,NA,"07",NA,NA,NA,NA,NA,NA,"03",11,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"000061111",6,"02","030",3,"07",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03",11,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"000061113",5,"02","035",3,"02",NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"01","02",NA,NA,NA,"06","07",NA,NA,NA,NA,NA,NA,"03",11,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"000061112",1,"03","080",3,"01",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,NA,NA,"06","07",NA,NA,NA,NA,NA,NA,"03",11,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"000061114",1,"02","040",3,"02",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03",11,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"000061115",1,"02","050",3,"06",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03",11,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
