"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari","Bakhsh","ShrDeh","Hozeh","BlkAbd","AbdName"
10009008107,"04","كارگركارخانه سنگ",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,88,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10010008917,"03","درامد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000008","14",5,239,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10010008913,"03","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,169,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10010008908,"03","کارگر توليد",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,221,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10010008912,"03","راننده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,247,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10010008923,"03","برق کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,240,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001000912,"04","كارمند",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,211,1,"Admin",NA,"Admin",NA,1,NA,NA,NA,NA,NA
10001000916,"04","دكور ساز",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,77,0,"Admin",NA,"Admin",NA,1,NA,NA,NA,NA,NA
10001002112,"04","بازنشسته",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,52,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10006005708,"04","درامد بدون کار",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,142,1,"Admin",NA,"Admin","Admin",1,NA,NA,NA,NA,NA
10006005717,"04","خانه دار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,47,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10006005713,"04","راننده ميني بوس",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,129,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10006005723,"04","بازنشسته",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,196,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10003003317,"04","درامد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000008","15",5,314,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10003003312,"04","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,54,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
