"Address","MahMorajeh","Fasl","weight","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin"
22501650508,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650511,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650514,"02",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650517,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"006582","16"
22501650520,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"006582","21"
22501650523,"02",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"006582","22"
22501652108,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652111,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652116,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652117,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652120,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652123,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000107","19"
22501650908,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650911,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650914,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650915,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650920,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"006633","19"
22501650923,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"006633","22"
22501648523,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648520,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648516,"04",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"005586","15"
22501648513,"04",1,47.9564102564103,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648510,"04",1,47.9564102564103,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652517,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652520,"04",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000071","19"
22501652523,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652511,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501652508,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501653707,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501653711,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501653714,"04",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"005996","15"
22501653718,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501653720,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501653723,"04",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"005996","19"
22501651314,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501651311,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501651308,"04",1,47.9564102564103,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501651313,"04",1,47.9564102564103,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501648509,"04",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"005586","11"
22501653309,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000112","10"
22501653311,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501653314,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501653316,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501653320,"03",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000116","22"
22501653323,"03",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650108,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650109,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650113,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650115,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501650120,"04",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"006369","22"
22501650123,"04",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"006369","24"
22501652514,"04",1,47.9564102564103,1,2,NA,1,NA,1,NA,NA,NA,"000069","15"
22501651320,"04",1,47.9564102564103,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501651323,"04",1,47.9564102564103,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22602657207,"04",1,164.076503122213,1,2,NA,2,NA,1,NA,NA,NA,"000001","08"
22602657211,"04",1,164.076503122213,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22602657217,"04",1,164.076503122213,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22602657214,"04",1,164.076503122213,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22605663208,"04",1,96.2755624036982,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22605663211,"04",1,96.2755624036982,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22605663214,"04",1,96.2755624036982,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
