"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1270133005,"02",NA,NA,"درامد بدون کار",1,1,NA,2,NA,NA,NA,3,665,0,"Admin",NA,"Admin",NA
1270133001,"02",NA,NA,"شاگرد شيريني فروشي",1,1,NA,2,NA,NA,NA,3,897,0,"Admin",NA,"Admin",NA
1270133004,"02",NA,NA,"معاون مدرسه راهنمايي",1,1,NA,2,NA,NA,NA,4,669,1,"Admin",NA,"Admin",NA
1270133003,"02",NA,NA,"کارگر ميوه فروشي",1,1,NA,2,NA,NA,NA,3,675,0,"Admin",NA,"Admin",NA
1270133002,"02",NA,NA,"آپاراتي",1,1,NA,2,NA,NA,NA,4,859,0,"Admin",NA,"Admin",NA
1270061001,"04",NA,NA,"معلم راهنمايي",1,1,NA,1,"خالي ازسکنه بودن مکان","000001","006",3,1100,0,"Admin",NA,"Admin",NA
1270061002,"04",NA,NA,"کارمند تامين اجتماعي",1,1,NA,1,"اقامت نداشتن خانوار در محل زندگي تا اخرفصل","000001","007",3,976,0,"Admin",NA,"Admin",NA
1270061004,"04",NA,NA,"داروساز",1,1,NA,2,NA,NA,NA,3,1063,0,"Admin",NA,"Admin",NA
1270057004,"03",NA,NA,"نگهبان",1,1,NA,1,"عمل جراحي و در شهر ديگر بسربردن","000003","006",3,1035,0,"Admin",NA,"Admin",NA
1270057005,"03",NA,NA,"دفتردارکارخانه چوب بري",1,1,NA,2,NA,NA,NA,3,1010,2,"Admin",NA,"Admin",NA
1270109004,"04",NA,NA,"زراعتکار",1,1,NA,2,NA,NA,NA,4,1176,0,"Admin",NA,"Admin",NA
1270109001,"04",NA,NA,"مروج کشاورزي",1,1,NA,2,NA,NA,NA,4,983,0,"Admin",NA,"Admin",NA
1270057002,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,595,0,"Admin",NA,"Admin",NA
1270057001,"03",NA,NA,"بيمار",1,1,NA,2,NA,NA,NA,4,789,0,"Admin",NA,"Admin",NA
1270057003,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,769,0,"Admin",NA,"Admin",NA
1270029002,"03",NA,NA,"نانوا خميرگير",1,1,NA,2,NA,NA,NA,4,546,0,"Admin",NA,"Admin",NA
1270037003,"03",NA,NA,"کارگر ساده ساختماني",1,1,NA,2,NA,NA,NA,4,610,0,"Admin",NA,"Admin",NA
1270029001,"03",NA,NA,"کارگر ساده ساختماني",1,1,NA,2,NA,NA,NA,4,585,0,"Admin",NA,"Admin",NA
