"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc1","JaygozinDesc2","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
2210153351,"04","مدير عامل شركت",1,1,NA,1,2,NA,"000058","350",5,511,0,"Admin",NA,"Admin","Admin"
2210157002,"02","دامدار",1,1,NA,2,NA,NA,NA,NA,4,963,1,"Admin",NA,"Admin","Admin"
2210157006,"02","مربي پرورشي",1,1,NA,2,NA,NA,NA,NA,4,1073,0,"Admin",NA,"Admin","Admin"
2210157007,"02","در آمد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,1176,0,"Admin",NA,"Admin","Admin"
2210157015,"02","كارگر خدماتي سنگ شكن",1,1,NA,2,NA,NA,NA,NA,5,1116,0,"Admin",NA,"Admin","Admin"
2210097201,"04","كارگر فضاي سبز",1,1,NA,1,3,NA,"000013","202",4,716,0,"Admin",NA,"Admin","Admin"
2210097204,"04","باغدار",1,1,NA,2,NA,NA,NA,NA,5,983,0,"Admin",NA,"Admin","Admin"
2210097209,"04","در آمد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,635,0,"Admin",NA,"Admin","Admin"
2210097212,"04","شاطر نانوايي",1,1,NA,2,NA,NA,NA,NA,5,573,0,"Admin",NA,"Admin","Admin"
2210097213,"04","كارگر ساده",1,1,NA,1,3,NA,"000016","214",4,735,0,"Admin",NA,"Admin","Admin"
2210125053,"04","گلخانه دار",1,1,NA,2,NA,NA,NA,NA,5,974,3,"Admin",NA,"Admin","Admin"
2210125055,"04","بنا",1,1,NA,2,NA,NA,NA,NA,5,1087,0,"Admin",NA,"Admin","Admin"
2210125059,"04","زارع",1,1,NA,2,NA,NA,NA,NA,4,880,0,"Admin",NA,"Admin","Admin"
2210125061,"04","باغدار",1,1,NA,2,NA,NA,NA,NA,5,846,4,"Admin",NA,"Admin","Admin"
2210125065,"04","راننده كاميون",1,1,NA,2,NA,NA,NA,NA,5,778,0,"Admin",NA,"Admin","Admin"
2210021246,"03","بازنشسته معدن",1,1,NA,2,NA,NA,NA,NA,5,319,0,"Admin",NA,"Admin","Admin"
2210021249,"03","راننده تاكسي",1,1,NA,2,NA,NA,NA,NA,5,521,0,"Admin",NA,"Admin","Admin"
2210021254,"03","در آمد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,217,0,"Admin",NA,"Admin","Admin"
2210021255,"03","دامدار",1,1,NA,2,NA,NA,NA,NA,5,480,0,"Admin",NA,"Admin","Admin"
2210021260,"03","كشاورز",1,1,NA,2,NA,NA,NA,NA,5,580,0,"Admin",NA,"Admin","Admin"
2210073047,"04","زير نظر كميته امداد",1,1,NA,2,NA,NA,NA,NA,5,494,0,"Admin",NA,"Admin","Admin"
