"ADDRESS","COL1","COL3","COL4","COL5"
"000091113",33190,1,2400000,0
"000011009",34170,1,140000,0
"000041064",33225,1,80000,0
"000041065",33225,1,125000,0
"000061071",34181,1,3e+06,0
"000061072",34170,1,1e+05,0
"000061076",34181,1,8e+06,0
"000091113",33269,1,6e+05,0
"000011013",34170,1,120000,0
"000011023",33214,1,1170000,0
"000061080",33214,1,1250000,0
"000061081",33134,1,9e+06,0
"000011015",34192,1,1.2e+07,0
"000031055",34192,1,1.03e+08,3800000
"000071094",33258,1,1050000,0
"000071106",34272,1,4e+06,0
"000011028",34170,1,270000,0
"000071107",33316,1,3e+07,0
"000071096",34170,1,150000,0
"000032049",34170,1,120000,0
"000072092",33258,1,2e+06,0
"000072094",33258,1,2200000,0
"000072095",33178,1,8e+05,0
"000012017",34170,1,30000,0
"000012017",34239,1,60000,0
"000012031",34170,1,20000,0
"000012035",34170,1,50000,0
"000012002",33225,1,30000,0
"000012005",33190,1,2e+06,0
"000012005",33214,1,3e+05,0
"000012034",34170,1,50000,0
"000042061",33190,1,2800000,0
"000062080",34170,1,150000,0
"000072107",34272,1,5650000,0
"000072100",33190,1,3e+06,0
"000042051",33190,1,1.5e+07,0
"000042051",33214,1,7e+05,0
"000042051",33269,1,2750000,0
"000042052",33190,1,3e+06,0
"000042052",33258,1,2500000,0
"000042053",33258,1,2300000,0
"000042054",33258,1,1150000,0
"000042055",33134,NA,0,6e+06
"000042055",33145,NA,0,2e+07
"000042058",34181,3,3.2e+07,0
"000072089",34170,1,150000,0
"002181117",33190,1,2e+07,0
"002211133",33190,1,5e+06,0
"002211135",33190,1,7e+06,0
"002022032",33190,1,6e+06,0
"002062060",34170,1,70000,0
"002022034",33190,1,2e+06,0
"002062057",33190,1,2e+06,0
"002102094",34170,1,1e+06,0
"002102095",33190,1,3e+06,0
"002182120",33214,1,1200000,0
"002182120",33258,1,1700000,0
"002212134",33190,1,1500000,0
"002182118",33258,1,2500000,0
"002072075",33190,1,2e+06,0
"002052047",33190,1,4e+06,0
"002062059",33190,1,1e+06,0
"002022024",33112,1,1.8e+07,0
"002052046",34170,1,50000,0
"002042042",33190,1,5e+06,0
"002142098",33190,1,1e+07,0
"002062059",34170,1,1e+05,0
"002062059",34181,1,2e+05,0
"002052053",33190,1,2e+07,0
"002052053",34170,1,1e+05,0
"002082082",33190,1,1120000,0
"002142096",33190,1,5e+06,0
"002142100",33190,1,1.2e+07,0
"002012007",33236,1,1700000,0
"002062056",34170,1,150000,0
"002012009",33190,1,1200000,0
"002012012",33190,1,1100000,0
"002022017",33190,1,3500000,0
"002042040",33112,1,1.5e+07,0
"002072077",33112,1,2.5e+07,0
"002072078",33189,1,1500000,0
"002072078",33258,1,1950000,0
"002072079",33258,1,2450000,0
"002082081",33190,1,1500000,0
"002082081",34239,1,120000,0
"002152102",33258,1,1200000,0
"002102088",33258,1,1750000,0
"002012013",34239,1,250000,0
"002022026",33190,1,2e+07,0
"002062060",34181,1,120000,0
"002072070",33190,1,2500000,0
"002202128",34170,1,150000,0
"002202128",34181,1,1500000,0
"002052047",34170,1,120000,0
"002052048",33190,1,5e+06,0
"002102086",33258,1,1500000,0
"002062056",34181,1,150000,0
"002142098",33236,1,950000,0
"002142099",33190,1,3e+06,0
"002192123",34228,1,3500000,0
"002072075",34170,1,1e+06,0
"002022016",34170,1,3e+05,0
"002052050",34170,1,140000,0
"002052052",34127,1,7e+06,0
"002062057",34170,1,150000,0
"002062058",34170,1,1e+05,0
"002062058",34181,1,170000,0
"002072068",33134,1,3e+07,0
"002072068",33145,1,1e+05,0
"002072078",34170,1,1e+06,0
"002142097",33236,1,930000,0
"002052049",33214,1,3200000,0
"002102090",33258,1,2300000,0
"002202128",34239,1,150000,0
"002202129",34170,1,150000,0
"002202130",33190,1,4e+06,0
"002212133",33190,1,2500000,0
"002042040",34170,1,3e+05,0
"002052048",34170,1,150000,0
"002052052",34170,1,2e+05,0
"002062057",34181,1,1e+05,0
"002072061",33190,1,7e+06,0
"002072061",34170,1,3e+05,0
"002072063",33190,1,2500000,0
"002072067",34170,1,50000,0
"002072074",33190,1,2e+07,0
"002072077",33214,1,1100000,0
"002072078",34228,1,2e+06,0
"002152101",33258,1,2e+06,0
"002152105",33258,1,2500000,0
"002182117",33258,1,2750000,0
"002182117",34228,1,2e+06,0
"002182119",33258,1,2e+06,0
"002192124",33190,1,5e+06,0
"002202127",33190,1,5e+05,0
"002202127",34170,1,620000,0
