"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36"
100012016,1,"04","095",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012017,1,"04","100",1,NA,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100012019,1,"04","120",3,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,"03","10"
100012020,1,"04","120",1,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012004,1,"05","220",1,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100012013,1,"03","045",2,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,1,"03","10"
100032045,1,"04","200",1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012003,1,"03","100",3,"01",NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100012005,1,"03","135",3,"01",1,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100012018,3,"03","120",3,"06",NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100012030,1,"03","109",3,"01",1,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012002,1,"04","115",3,"01",1,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100012001,1,"04","120",1,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012032,3,"03","075",3,"01",1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,NA,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,"03","10"
100012035,1,"02","055",3,"01",NA,1,1,1,1,NA,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100042046,1,"03","080",1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100042047,1,"03","075",1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
