"ADDRESS","COL01","COL02","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10","COL11","COL12","COL13"
101023004,"01",1,6111,"0111",1,1,1e+06,43000,0,240000,0,5e+06,3717000
101053021,"01",1,5220,"5030",2,2,0,0,0,0,0,0,8.4e+07
101053035,"01",1,7231,"5020",1,2,0,0,0,0,0,0,3e+07
101093076,"01",1,1314,"5141",2,2,0,0,0,0,0,0,0
101023001,"01",1,6111,"0111",2,1,0,0,0,0,0,0,21700000
101093079,"01",1,5220,"5236",2,2,0,0,0,0,0,0,3.6e+07
101053051,"01",1,5220,"5239",2,2,0,0,0,0,0,0,3.6e+07
101033009,"01",1,6155,"0502",2,2,0,0,0,0,0,0,2.4e+07
101033009,"02",1,5220,"5259",2,2,0,0,0,0,0,0,12480000
101053037,"01",1,7221,"2811",2,2,0,0,0,0,0,0,3e+07
101053047,"01",1,7241,"3120",2,2,0,0,0,0,0,0,3.6e+07
101043016,"01",1,8322,"6023",2,2,0,0,0,0,0,0,14400000
101053055,"01",1,5220,"5211",2,2,0,0,0,0,0,0,14400000
101053053,"01",1,5220,"5211",2,2,0,0,0,0,0,0,14400000
101053025,"01",1,8322,"6021",2,2,0,0,0,0,0,0,9360000
101073070,"01",1,6111,"0111",1,1,5e+05,140000,0,350000,0,2700000,1710000
101073070,"03",1,5220,"5223",2,2,0,0,0,0,0,0,6500000
101033010,"01",1,5220,"5221",2,2,0,0,0,0,0,0,14400000
101043020,"01",1,5220,"5211",2,2,0,0,0,0,0,0,1440000
101043020,"01",1,5220,"5239",2,1,0,45000,0,0,0,645000,6e+05
101053023,"01",1,7417,"1545",1,2,0,0,0,0,0,0,3.6e+07
101053060,"01",1,7122,"4521",1,2,0,0,0,0,0,0,1.8e+07
101133093,"01",1,6112,"0113",2,1,6e+05,250000,0,270000,0,5100000,3980000
101133093,"02",1,6112,"0113",3,1,0,0,0,0,0,0,0
101053060,"03",1,5220,"5234",2,2,0,0,0,0,0,0,3e+07
101053042,"01",1,7132,"4521",2,2,0,0,0,0,0,0,1.8e+07
101053044,"01",1,9112,"5259",2,2,0,0,0,0,0,0,6240000
101053038,"01",1,5220,"5234",2,2,0,0,0,0,0,0,21600000
101063064,"01",1,5220,"5221",2,2,0,0,0,0,0,0,6e+07
101063061,"01",1,8324,"6023",2,2,0,0,0,0,0,0,1.8e+07
101053024,"01",1,9211,"9500",2,2,0,0,0,0,0,0,3e+06
101053034,"01",1,5220,"5223",2,2,0,0,0,0,0,0,3.6e+07
101023005,"01",1,6111,"0111",1,1,2600000,112000,0,1e+06,0,14110000,10398000
101023005,"03",1,6155,"0502",2,1,0,0,0,0,0,0,3e+06
101073071,"01",1,6112,"0113",1,1,43270000,6730000,0,0,0,5.5e+07,5e+06
101053027,"01",1,8322,"6021",2,2,0,0,0,0,0,0,50400000
101093077,"03",1,8322,"6021",2,2,0,0,0,0,0,0,1.8e+07
101113090,"01",1,6111,"0111",1,1,150000,50000,0,150000,0,0,-350000
101113090,"01",1,7218,"5020",2,2,0,0,0,0,0,0,9600000
101133094,"01",1,8321,"6022",2,2,0,0,0,0,0,0,9600000
101023001,"01",1,6155,"0502",2,1,0,0,0,0,0,0,6e+06
101023001,"03",1,6155,"0502",2,1,0,0,0,0,0,0,4e+06
101023001,"04",1,6155,"0502",2,1,0,0,0,0,0,0,3500000
101053032,"01",1,2139,"8031",1,2,0,0,0,0,0,0,2.4e+07
101053043,"01",1,7123,"4521",2,2,0,0,0,0,0,0,2.4e+07
101103083,"01",1,5220,"5123",2,2,0,0,0,0,0,0,1e+07
101133091,"01",1,9333,"9305",2,2,0,0,0,0,0,0,4800000
101133093,"03",1,6112,"0113",3,1,0,0,0,0,0,0,0
101054033,"01",1,7231,"5260",2,2,0,0,0,0,0,0,1800000
