"ADDRESS","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
101051049,"01",NA,NA,NA,NA,NA,"0020000000"
101051049,"02",NA,NA,NA,NA,NA,"0015000000"
101051049,"03",NA,NA,NA,NA,NA,"0020000000"
101051052,"01","0015630000",NA,NA,NA,NA,NA
101051054,"01","0018270000",NA,NA,NA,NA,"0003600000"
101051056,"01","0164550000",NA,NA,NA,NA,NA
101051067,"01",NA,NA,"0008400000",NA,NA,NA
101051069,"01",NA,"0008280000",NA,NA,NA,NA
101052024,"01",NA,"0006000000",NA,NA,NA,NA
101052025,"01",NA,"0006620000",NA,NA,NA,NA
101052026,"01","0014220000",NA,NA,NA,NA,NA
101052027,"01",NA,NA,NA,NA,NA,"0024000000"
101052029,"01","0016900000",NA,NA,NA,NA,NA
101052030,"01","0029340000",NA,NA,NA,NA,NA
101052032,"02","0031370000","0030720000",NA,NA,NA,NA
101052034,"01","0031350000",NA,NA,NA,NA,NA
101052035,"01","0030670000",NA,"0006000000",NA,NA,NA
101052036,"01",NA,"0008880000",NA,NA,NA,NA
101052039,"01",NA,"0001240000",NA,NA,NA,NA
101052040,"01","0019000000",NA,NA,NA,NA,NA
101052041,"01",NA,"0002025000",NA,NA,NA,NA
101052042,"01","0037750000",NA,NA,NA,NA,NA
101052045,"01","0037750000",NA,NA,NA,NA,NA
101052047,"01",NA,NA,NA,"0005170000",NA,NA
101052049,"01",NA,"0003300000",NA,NA,NA,NA
101052051,"02",NA,NA,NA,"0004400000",NA,NA
101052052,"01",NA,"0009000000",NA,NA,NA,NA
101052052,"02","0031200000",NA,NA,NA,NA,NA
101052053,"01","0015000000",NA,NA,NA,NA,NA
101052054,"01","0019000000",NA,NA,NA,NA,NA
101052054,"03",NA,NA,NA,NA,"0000600000",NA
101052055,"01","0085000000",NA,NA,NA,NA,NA
101052056,"01","0037350000",NA,NA,NA,NA,NA
101052057,"01",NA,"0007000000",NA,NA,NA,"0065000000"
101052058,"01",NA,"0151500000",NA,NA,NA,NA
101052060,"01","0057200000",NA,NA,NA,NA,NA
101052062,"01","0018400000",NA,NA,NA,NA,NA
101052067,"01",NA,"0025200000",NA,NA,NA,NA
101052068,"01",NA,"0003600000",NA,NA,NA,NA
101052069,"01",NA,NA,NA,"0001212000",NA,NA
101052069,"02",NA,NA,NA,"0006200000",NA,NA
101053021,"01","0023350000",NA,NA,NA,NA,NA
101053025,"01","0019500000",NA,NA,NA,NA,NA
101053031,"01","0025500000",NA,NA,NA,NA,NA
101053032,"01",NA,"0004800000",NA,NA,NA,NA
101053039,"02","0",NA,NA,NA,"0001000000",NA
101053040,"01","0014400000",NA,NA,NA,NA,NA
101053041,"01","0024600000",NA,NA,NA,NA,NA
101053044,"01",NA,NA,NA,NA,NA,"0012000000"
101053046,"01",NA,NA,NA,NA,NA,"0012000000"
101053047,"01",NA,"0014400000",NA,NA,NA,NA
101053048,"01","0038950000",NA,NA,NA,NA,NA
101053050,"01","0029710000","0002000000",NA,NA,NA,NA
101053051,"01",NA,NA,NA,"0007300000",NA,"0002000000"
101053054,"01",NA,NA,NA,NA,NA,"0008400000"
101053055,"01","0026590000",NA,NA,NA,NA,NA
101053057,"01",NA,NA,NA,"0006000000",NA,"0004000000"
101053060,"01","0017666300",NA,NA,NA,NA,NA
101053061,"01","0034150000",NA,NA,NA,NA,NA
101054026,"01","0019750000",NA,NA,NA,NA,NA
101054027,"01","0032950000",NA,NA,NA,NA,NA
101054033,"02",NA,"0018000000",NA,NA,NA,NA
101054034,"01","0030550000",NA,NA,NA,NA,NA
101054036,"01","0025750000",NA,NA,NA,NA,NA
101054042,"01","0026830000",NA,NA,NA,NA,NA
101054043,"01","0024850000",NA,NA,NA,NA,NA
101054044,"01","0052150000",NA,NA,NA,NA,NA
101054045,"01","0037750000","0002200000",NA,NA,NA,NA
101054046,"01",NA,NA,"0001440000",NA,NA,"0006000000"
101054047,"02","0025750000",NA,NA,NA,NA,NA
101054048,"01",NA,"0010500000",NA,NA,NA,NA
101054051,"02","0019270000",NA,NA,NA,NA,NA
101054051,"04","0018550000",NA,NA,NA,NA,NA
101054052,"01","0019750000","0001000000",NA,NA,NA,NA
101054054,"01",NA,NA,NA,NA,NA,"0006000000"
101054055,"02",NA,NA,NA,NA,NA,"0005000000"
101054060,"02",NA,NA,NA,NA,NA,"0001000000"
101054060,"04",NA,NA,NA,NA,NA,"0006000000"
101054062,"01","0029350000",NA,NA,NA,"0006000000",NA
101054063,"01",NA,"0012000000",NA,NA,NA,"0010000000"
101061072,"01","0014400000","0009100000",NA,NA,NA,NA
101061075,"01",NA,NA,NA,"0002200000",NA,"0001920000"
101062075,"01",NA,NA,NA,"0004800000",NA,NA
101063066,"01","0019750000",NA,NA,NA,NA,NA
101063068,"01",NA,NA,NA,NA,NA,"0002400000"
101063070,"01","0029350000",NA,NA,NA,NA,NA
101071076,"01",NA,"0014400000",NA,NA,NA,NA
101071078,"01","0017000000",NA,NA,NA,NA,NA
101071079,"01","0022000000",NA,NA,NA,NA,NA
101071080,"01",NA,NA,NA,NA,NA,"0006000000"
101072076,"01",NA,"0001100000",NA,NA,NA,NA
101072077,"01","0018480000",NA,NA,NA,NA,NA
101073071,"01","0025750000",NA,NA,NA,NA,NA
101073072,"01","0028150000",NA,NA,NA,NA,NA
101073073,"02","0043750000",NA,NA,NA,NA,NA
101073074,"02",NA,NA,NA,NA,NA,"0001200000"
101073077,"01",NA,"0000250000",NA,"0005800000",NA,NA
101073080,"01","0019750000",NA,NA,NA,NA,NA
101074071,"02",NA,NA,NA,NA,"0003600000",NA
101074072,"01","0020290000",NA,NA,NA,NA,NA
101074073,"01",NA,"0003900000",NA,NA,NA,NA
101074074,"01",NA,"0006600000",NA,NA,NA,NA
101081082,"01",NA,"0003300000",NA,NA,NA,NA
101081083,"01",NA,"0010200000",NA,NA,NA,NA
101081084,"01","0016710000",NA,NA,NA,NA,NA
101081085,"01",NA,"0015600000",NA,NA,NA,NA
101082081,"01",NA,"0003960000",NA,NA,NA,NA
101083081,"01","0",NA,NA,"0002050000",NA,NA
101083085,"01",NA,NA,NA,"0026000000",NA,NA
101084076,"01",NA,NA,NA,NA,NA,"0003600000"
101084076,"02",NA,NA,NA,NA,NA,"0003200000"
101084077,"01",NA,"0006240000",NA,NA,NA,NA
101094081,"01",NA,"0014400000",NA,NA,NA,NA
101094082,"01","0031750000",NA,NA,NA,"0000600000",NA
101094083,"01","0035350000",NA,NA,NA,"0004800000",NA
101094083,"04",NA,NA,NA,NA,"0001200000",NA
101094084,"01","0031750000",NA,NA,NA,NA,NA
101094085,"01","0020230000",NA,NA,NA,NA,NA
101101086,"01",NA,NA,NA,"0003500000",NA,NA
101101088,"01",NA,NA,NA,"0003350000",NA,NA
101101091,"01",NA,"0003120000",NA,NA,NA,NA
101101092,"01",NA,NA,NA,"0003300000",NA,NA
101101092,"03",NA,NA,NA,NA,NA,"0012000000"
101101093,"01",NA,"0003360000",NA,NA,NA,NA
101102087,"01","0035600000",NA,NA,NA,NA,NA
101102088,"01",NA,"0027660000",NA,NA,NA,NA
101102089,"01",NA,"0003200000",NA,NA,NA,NA
101102095,"01",NA,NA,NA,NA,NA,"0004000000"
101103086,"01",NA,"0027480000",NA,NA,NA,NA
101103090,"01",NA,"0002750000",NA,NA,NA,NA
101104088,"01",NA,"0024000000",NA,NA,NA,NA
101104090,"01","0019750000",NA,NA,NA,NA,NA
101111096,"01",NA,NA,NA,NA,NA,"0027200000"
101111097,"01",NA,"0003160000",NA,NA,NA,NA
101111099,"01",NA,"0015000000",NA,NA,NA,NA
101111100,"01",NA,"0011520000",NA,NA,NA,NA
101112096,"01",NA,"0144000000",NA,NA,NA,NA
101112097,"01",NA,NA,NA,"0007000000",NA,NA
101112098,"01","0030800000","0001500000",NA,NA,NA,NA
101113091,"01",NA,"0006000000",NA,NA,NA,NA
101113094,"01","0006000000","0007200000",NA,NA,NA,NA
101113099,"01",NA,"0004000000",NA,NA,NA,NA
101114091,"01","0017700000",NA,NA,NA,NA,NA
101114092,"01",NA,"0010000000",NA,NA,NA,NA
101114093,"02","0013175000",NA,NA,NA,NA,NA
101114094,"01","0018300000",NA,NA,NA,NA,NA
101114095,"01","0017750000",NA,NA,NA,NA,"0000500000"
101124096,"01","0025750000",NA,NA,NA,NA,NA
101124097,"01",NA,NA,NA,"0004670000",NA,NA
101124099,"01",NA,NA,NA,NA,NA,"0004800000"
101124100,"01","0","0001980000",NA,NA,NA,NA
101141102,"05",NA,NA,NA,"0002000000",NA,NA
101141103,"04","0014470000",NA,NA,NA,NA,NA
101141105,"01",NA,"0015600000",NA,NA,NA,NA
101142101,"01","0031750000",NA,NA,NA,NA,NA
101142101,"02","0025750000",NA,NA,NA,NA,NA
101142105,"01",NA,"0002000000",NA,NA,NA,NA
101153105,"01",NA,NA,NA,"0006550000",NA,NA
101164102,"01",NA,NA,NA,"0025750000",NA,NA
101164102,"06",NA,NA,NA,"0003100000",NA,NA
102011001,"01",NA,NA,NA,NA,NA,"0000080000"
102011002,"01",NA,NA,NA,NA,NA,"0021000000"
102011002,"02",NA,NA,NA,NA,"0001000000",NA
102011004,"01",NA,NA,NA,NA,NA,"0003000000"
